inc_sig_ratio,error,label
0.465137566,0,RS
0.46392297,0.01,RS
0.461106515,0.02,RS
0.454012568,0.03,RS
0.4461617,0.04,RS
0.440528789,0.05,RS
0.429298175,0.06,RS
0.424474995,0.07,RS
0.4133676,0.08,RS
0.404108504,0.09,RS
0.396697706,0.1,RS
0.390360682,0.11,RS
0.381735288,0.12,RS
0.376665669,0.13,RS
0.370733511,0.14,RS
0.368374729,0.15,RS
0.364132444,0.16,RS
0.354292454,0.17,RS
0.352479361,0.18,RS
0.353693957,0.19,RS
